Unnamed: 0,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,malic,none,oxalic,phosphoric,sulfuric,acacia,aspen,basswood,beech,birch,carob,eucalyptus,maple,meranti,mixed,oak,olive,paulownia,poplar,vine,willow,Yield
1787,4,403.15,20,0,1.625,3.826967593,0.173032407,28.89632107,18.6,29.25267561,3.375971043,1.294084933,0.25780383,1.600077992,0.470052373,3.248888889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.946236559
1788,22.0126083,388.15,8,0.203935964,8,10.7626083,11.25,8,18.86363636,29.75588969,3.393027085,0.855378923,-0.156210723,0.959950202,-0.040873869,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81.97034832
1789,4,473.15,1.53164557,0.101307885,6,3.5,0.5,350,17.04545455,3079.196562,8.032423985,302.4657417,5.711968021,541.9777321,6.295224916,2.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74.60729209
1790,10.78906301,453.15,40,0,5,10.78906301,0,0,23.78409091,2446.128258,7.802261751,227.8410569,5.428648267,371.5186057,5.917598945,3.508,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.09856811
1791,30,425.15,20,0,0.42,30,0,0,15.45454545,1019.044916,6.92662111,70.51770103,4.255863757,99.27358424,4.597879516,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28.01764707
1792,34.90669964,433.15,6,0,5,13.81294964,21.09375,6.4,15.02,807.0641379,6.693403142,62.58385051,4.136507266,92.06021317,4.522442854,4.269325153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.631957592
1793,16.09533508,473.15,10,7.108741531,0.5,12.29533508,3.8,46.05263158,20.909,10817.07243,9.288880945,1062.547898,6.968424981,1903.942234,7.551681876,4.269325153,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,71.41686114
1794,10,463.15,20,0.75,7.9,10,0,0,18.75,4466.14102,8.404280008,433.7452183,6.072457307,742.1706401,6.60957919,2.128411429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52.58666667
1795,40,483.15,8,8.51E-06,0.509,40,0,0,21.375,69321.23591,11.14650657,6693.434523,8.808882403,12536.05976,9.436364551,3.439166667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.058160553
1796,50.64,469.15,8,0,8,32.886875,17.753125,9.632107023,18.63636364,22060.59398,10.00154822,2164.775487,7.680071934,3808.957597,8.245110834,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,88.80487805
1797,20,433.15,6,0.5,0.5,20,0,0,14.64,1168.561616,7.063528884,90.61620022,4.506633007,133.295517,4.892568596,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,71.52
1799,5.033333333,443.15,3.9,0.0815669,0.38,4.7,0.333333,7.25,21.93181818,540.9491169,6.293325221,46.77913571,3.845437285,72.53307927,4.284042724,3.248888889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.83419689
1800,140,433.15,4,0.142742075,5,90,50,2.7,17.6,5258.527273,8.56760628,407.772901,6.010710404,599.8298264,6.396645992,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,88.18181818
1801,88.71999473,388.15,8,0.101967982,8,77.46999473,11.25,8,18.86363636,214.1849404,5.366839849,6.157076315,1.817602041,6.909787571,1.932938895,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82.96138809
1802,90,433.15,5.666666667,0,2,75,15,1.333333333,19.31818182,4382.106061,8.385284724,339.8107508,5.828388847,499.8581887,6.214324436,3.439166667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53.95983829
