TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,none,oxalic,sulfuric,acacia,aspen,beech,birch,eucalyptus,maple,mixed,oak,paulownia,poplar,salix,vine,Yield
29.71732212,398.15,8,0.305903946,8,17.21732212,12.5,8,18.86363636,93.76871123,4.540831231,3.636772889,1.291096719,4.357300507,1.471852716,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,77.98428697
40,463.15,8,8.51E-06,0.509,40,0,0,21.375,17864.56408,9.790574369,1734.980873,7.458751668,2968.682561,7.995873551,3.71375,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.15204678
134.6014565,388.15,8,0.101967982,8,123.3514565,11.25,8,18.86363636,341.035577,5.831986803,9.803593426,2.282748995,11.00209654,2.398085849,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,79.9216194
100,423.15,5,0,2,95,5,25,12.386,2817.787834,7.9437074,188.7847729,5.240607598,262.7975381,5.571383919,1.595878788,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.049572098
315,413.15,5.666666667,0,2,300,15,0,19.31818182,4517.196701,8.415646881,251.2494481,5.526446263,330.0991733,5.799393135,3.71375,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.959994154
199.7104343,418.15,8,0,5,179.7104343,20,6,16.70454545,3797.864883,8.242194315,233.0400006,5.451210115,315.2662302,5.753417457,4.056615385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.398250271
10,483.15,8,8.51E-06,0.509,10,0,0,21.375,17330.30898,9.760212212,1673.358631,7.422588042,3134.014941,8.05007019,3.71375,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.7625731
48,443.15,5,0,3,18,30,4.833333333,16.93181818,2071.720022,7.63613447,179.1541368,5.188246534,277.7862611,5.626851973,1.595878788,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.771812081
165.7130843,398.15,8,0.101967982,8,153.2130843,12.5,8,18.86363636,834.4267104,6.726744915,32.36282549,3.477010403,38.77463901,3.657766399,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,78.08571335
195.7196128,398.15,8,0.305903946,8,183.2196128,12.5,8,18.86363636,997.8477978,6.905600757,38.7010312,3.655866246,46.36858776,3.836622242,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,67.69507357
120,423.15,4,0,10.35,60,60,2.083333333,20.47,1779.655474,7.484175071,119.2324881,4.781075269,165.9773925,5.111851589,3.71375,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.244259893
7.387657756,513.15,40,0,0.425,2.161234991,5.226422764,41.13712375,20.9,28629.85225,10.26220524,2249.692972,7.718549029,4761.723075,8.468364872,3.515384615,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.21658136
17,448.15,9,0.152937938,0.84,13,4,75,16.59090909,2100.005243,7.64969512,189.2636046,5.243140776,301.0269168,5.707199685,4.451428571,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,66.04504692
90.44560081,373.65,8,0.203935964,8,81.00810081,9.4375,8,18.86363636,83.80121153,4.428447465,1.421903378,0.351996381,1.442324019,0.366255715,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,52.03880315
20,453.15,8,0,8,15,5,31,16.89772727,3400.844339,8.131779015,316.7666968,5.758165531,516.521136,6.247116209,2.529022005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.942165435
81.77231188,388.15,8,0.101967982,8,70.52231188,11.25,8,18.86363636,194.9763546,5.272878293,5.604895904,1.723640484,6.290102326,1.838977339,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,73.69854367
124.2238806,425.15,6,0,5,120.2238806,4,31.75,15.1,4083.784476,8.314779405,282.5970556,5.644022051,397.8351846,5.98603781,3.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.335969918
129.9946107,388.15,8,0.305903946,8,118.7446107,11.25,8,18.86363636,328.2988136,5.793924211,9.437455526,2.244686402,10.59119776,2.360023256,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,80.26526101
164.5777539,388.15,8,0.203935964,8,153.3277539,11.25,8,18.86363636,423.9124571,6.049526965,12.18601712,2.500289156,13.67577488,2.615626011,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,78.95242094
66,393.15,5,0.2,3,36,30,3.166666667,16.93181818,139.6935566,4.939451142,4.693509552,1.546180608,5.444702006,1.694643027,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,27.16778524
1.253333333,443.15,3.9,0.0815669,0.38,0.92,0.333333,7.25,21.93181818,105.8879122,4.662381103,9.15676699,2.214493168,14.19796445,2.653098606,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23.25388602
80.71428571,443.15,15,0,0.59,60,20.71428571,7,15,6905.733407,8.840107274,597.1804559,6.392219339,925.9542035,6.830824777,2.575238095,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.5
124.4301075,433.15,6,0,5,120.4301075,4,33.75,15.1,7036.500055,8.858866174,545.6459368,6.301970298,802.6396721,6.687905886,3.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.44831595
54.41018362,398.15,8,0.101967982,8,41.91018362,12.5,8,18.86363636,228.2505884,5.430444097,8.852585697,2.180709586,10.60648474,2.361465582,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,74.9670101
200.7142857,443.15,15,0,0.59,180,20.71428571,7,16.03409,20717.20022,9.938719563,1791.541368,7.490831627,2777.862611,7.929437066,2.575238095,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.50035518
16.65009343,513.15,40,0,0.425,11.42367067,5.226422764,41.13712375,20.9,151329.219,11.927213,11891.23428,9.383556793,25169.10768,10.13337264,3.515384615,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.153773799
120.1636326,408.15,8,0.407871928,8,106.4136326,13.75,8,18.86363636,1141.633089,7.04021505,56.9450221,4.042086278,72.60659619,4.285055774,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,58.31448549
